r	g	b	lstr
255	0	0	190151407_Actinobacillus_ABB7_B_Dihydropteroate_synthase
255	0	0	190151408_Actinobacillus_ABB7_B_Streptomycin_phosphotransferase_StrA
34	139	34	75812650_Anabaena_AnabaeaB_cobyrinic_acid_a
34	139	34	75812312_Anabaena_anabaeA_histidine_kinase
34	139	34	75812435_Anabaena_anabaeA_ABC_transporter-like
34	139	34	75812473_Anabaena_anabaeA_response_regulator_receiver_hybrid_histidin
34	139	34	75812474_Anabaena_anabaeA_hypothetical_protein
34	139	34	75812518_Anabaena_anabaeA_bacteriocin-processing_peptidase
255	0	0	190151412_Actinobacillus_APP7_A_Beta-lactamase
200	200	200	58616561_Aromatoleum_Aroaro2_partitioning_protein
255	255	0	116662225_Arthrobacter_Arthro1_ABC_transporter_related
255	255	0	116662228_Arthrobacter_Arthro1_periplasmic_sensor_signal_transduction_histidin
255	255	0	116662230_Arthrobacter_Arthro1_two_component_transcriptional_regulator
255	255	0	116662320_Arthrobacter_Arthro2_ABC_transporter_related
255	255	0	116662345_Arthrobacter_ArthroFB3_cobyrinic_acid_a
255	255	0	116662432_Arthrobacter_ArthroFB3_hypothetical_protein
255	0	0	159186484_Agrobacterium_At_ABC_transporter
255	0	0	159186499_Agrobacterium_At_ABC_transporter
255	0	0	159186540_Agrobacterium_At_ABC_transporter
255	0	0	159186639_Agrobacterium_At_2-hydroxyacid_dehydrogenase
255	0	0	159186656_Agrobacterium_At_ABC_transporter
255	0	0	159186658_Agrobacterium_At_ABC_transporter
255	0	0	16119238_Agrobacterium_At_deoxyfructosyl-amino_acid_ABC-type_membran
255	0	0	16119296_Agrobacterium_At_ABC_transporter
255	0	0	16119358_Agrobacterium_At_ABC_transporter
255	0	0	16119402_Agrobacterium_At_ABC_transporter
255	0	0	16119460_Agrobacterium_At_ABC_transporter
255	0	0	16119543_Agrobacterium_At_ABC_transporter
255	0	0	16119680_Agrobacterium_At_ABC_transporter
255	0	0	16119710_Agrobacterium_At_ABC_transporter
255	0	0	226246774_Borrelia_Bol26_cp26_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	226246709_Borrelia_Bol26_cp32-5_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	226315586_Borrelia_Bol26_lp28-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
200	200	200	77404598_Rhodobacter_B_ABC_sugar_transporter
200	200	200	77404607_Rhodobacter_B_major_facilitator_superfamily_fosmidomyci
200	200	200	77404609_Rhodobacter_B_ATPase
200	200	200	77404631_Rhodobacter_B_glycine_betaine/L-proline_ABC_transporte
200	200	200	77404656_Rhodobacter_B_two_component_transcriptional_regulator
200	200	200	77404668_Rhodobacter_B_ABC_branched_chain_amino_acid_transporter
200	200	200	77404681_Rhodobacter_B_AABC_amino_acid_transporter
200	200	200	77404684_Rhodobacter_B_ABC_sugar_transporter
255	0	0	224593653_Borrelia_CA-11.2A_cp26_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224591557_Borrelia_CA-11.2A_cp32-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224590721_Borrelia_CA-11.2A_cp32-5_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225380197_Borrelia_CA-11.2A_lp28-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224984196_Borrelia_CA-11.2A_lp38_ABC_transporter
255	0	0	224797083_Borrelia_CA-11.2A_lp56_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	11497013_Borrelia_cp26_B31_hypothetical_protein
255	0	0	51038609_Borrelia_cp26_hypothetical_protein
255	0	0	216997753_Borrelia_cp32-3_ACA_PF-32_protein
255	0	0	11497116_Borrelia_cp32-3_B31_plasmid_partition_protein
255	0	0	216996639_Borrelia_cp32-4_PF-32_protein
255	0	0	216969114_Borrelia_cp32-5_PF-32_protein
255	0	0	11497239_Borrelia_cp32-7_plasmid_partition_protein
255	0	0	11497284_Borrelia_cp32-8_plasmid_partition_protein
255	0	0	46518345_Salmonella_cryptic_plasmid_hypothetical_protein
34	139	34	75812685_Anabaena_C_hypothetical_protein
34	139	34	75812776_Anabaena_C_two_component_LuxR_family_transcriptiona
34	139	34	75812781_Anabaena_C_cobyrinic_acid_a
34	139	34	75812816_Anabaena_C_multi-sensor_hybrid_histidine_kinase
34	139	34	75812821_Anabaena_C_multi-component_transcriptional_regulator
200	200	200	77404807_Rhodobacter_D_RepA_partitioning_protein/ATPase
255	0	0	161598507_Staphylococcus_EDINA_hypothetical_protein
255	0	0	161598531_Staphylococcus_EDINA_hypothetical_protein
200	200	200	125654707_Rhodobacter_E_ABC_cobalamin/Fe3+siderophore_transporter
255	0	0	219783953_Borrelia_Far04_lp17_ABC_transporter
255	0	0	219788365_Borrelia_Far04_lp25_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	219873070_Borrelia_Far04_lp36_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	210135771_Helicobacter_HPP12_MccC
255	0	0	209947535_Haemophilus_ICEhin1056_chloramphenicol_acetyltransferase_II
255	0	0	209947541_Haemophilus_ICEhin1056_putative_tetracycline_resistance_protein
255	0	0	209947572_Haemophilus_ICEhin1056_beta-lactamase
255	0	0	189009824_Salmonella_IncW_pIE321_StrA
255	0	0	189009825_Salmonella_IncW_pIE321_StrB
255	0	0	189009830_Salmonella_IncW_pIE321_TetA
255	0	0	10956148_Staphylococcus_J3356_pOX7_1_beta-lactamase
255	0	0	10956150_Staphylococcus_J3356_pOX7_3_beta-lactamase
255	0	0	10956146_Staphylococcus_J3358_tetracycline_resistance_protein
255	0	0	116326669_Lactobacillus_lactoba1_ABC-type_polar_amino_acid_transport_system
255	0	0	116326627_Lactococcus_LaLa4_ABC-type_oligopeptide_transport_system
255	0	0	116326628_Lactococcus_LaLa4_ABC-type_dipeptide/oligopeptide/nickel_transpor
34	139	34	71725213_Pseudomonas_large_plasmid_transposase
34	139	34	71725268_Pseudomonas_large_plasmid_plasmid_partition_protein_ParA
255	0	0	94972397_Lawsonia_Law2_ATPases_involved_in_chromosome_partitioning
255	0	0	11496614_Borrelia_lp25_B31_hypothetical_protein
255	0	0	117621857_Borrelia_lp25_PKo_hypothetical_protein
255	0	0	219364377_Borrelia_lp28-2_ACA_stage_0_sporulation_protein_J
255	0	0	219052329_Borrelia_lp28-3_ACA_PF-32_protein
255	0	0	11496706_Borrelia_lp28-3_B31_hypothetical_protein
255	0	0	219053376_Borrelia_lp28-7_PF-32_protein
255	0	0	11496838_Borrelia_lp38_ABC_transporter
255	0	0	11497378_Borrelia_lp56_plasmid_partition_protein
255	0	0	117621652_Borrelia_lp60-2_hypothetical_protein
255	0	0	117621661_Borrelia_lp60-2_hypothetical_protein
34	139	34	46562176_Desulfovibrio_megaDesu_ABC_transporter
34	139	34	46562225_Desulfovibrio_megaDesu_ABC_transporter
34	139	34	38637910_Ralstonia_megaplasmid_pHG1_putative_copper_ATP-binding_ABC_transporter
34	139	34	38637927_Ralstonia_megaplasmid_pHG1_nitrate/nitrite_response_regulator
34	139	34	38638035_Ralstonia_megaplasmid_pHG1_putative_partitioning_protein
34	139	34	72383751_Ralstonia_megaRalsto_excinuclease_ABC_subunit_A
34	139	34	72383798_Ralstonia_megaRalsto_ABC_transporter_related
34	139	34	72383799_Ralstonia_megaRalsto_ABC_transporter_related
34	139	34	72383919_Ralstonia_megaRalsto_major_facilitator_transporter
34	139	34	72383948_Ralstonia_megaRalsto_Beta-lactamase-like
34	139	34	72384006_Ralstonia_megaRalsto_major_facilitator_transporter
34	139	34	72384019_Ralstonia_megaRalsto_secretion_protein_HlyD
34	139	34	72384027_Ralstonia_megaRalsto_ABC_transporter_related
34	139	34	72384074_Ralstonia_megaRalsto_ABC_transporter_related
34	139	34	72384075_Ralstonia_megaRalsto_ABC_transporter_related
34	139	34	72384095_Ralstonia_megaRalsto_hydrophobe/amphiphile_efflux-1_HAE1
34	139	34	72384132_Ralstonia_megaRalsto_ABC_transporter_related
34	139	34	72384217_Ralstonia_megaRalsto_response_regulator_receiver:ATP-binding_region
34	139	34	72384218_Ralstonia_megaRalsto_adenylate_cyclase
34	139	34	72384239_Ralstonia_megaRalsto_ABC_transporter_related
34	139	34	72384240_Ralstonia_megaRalsto_ABC_transporter_related
0	0	255	99078013_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078018_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078093_Ruegeria_megaRauge_sp_oligopeptide/dipeptide_ABC_transporter
0	0	255	99078117_Ruegeria_megaRauge_sp_oligopeptide/dipeptide_ABC_transporter
0	0	255	99078135_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078154_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078185_Ruegeria_megaRauge_sp_response_regulator_receiver_protein
0	0	255	99078195_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078210_Ruegeria_megaRauge_sp_two_component_transcriptional_regulator
0	0	255	99078212_Ruegeria_megaRauge_sp_phosphonate_ABC_transporter_ATP-binding
0	0	255	99078255_Ruegeria_megaRauge_sp_periplasmic_sensor_hybrid_histidine_kinase
0	0	255	99078276_Ruegeria_megaRauge_sp_response_regulator_receiver_sensor_signa
0	0	255	99078279_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078291_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078306_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078311_Ruegeria_megaRauge_sp_two_component_transcriptional_regulator
0	0	255	99078349_Ruegeria_megaRauge_sp_two_component_transcriptional_regulator
0	0	255	99078372_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078407_Ruegeria_megaRauge_sp_PAS/PAC_sensor_hybrid_histidine_kinase
0	0	255	99078410_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078457_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078570_Ruegeria_megaRauge_sp_oligopeptide/dipeptide_ABC_transporter
0	0	255	99078571_Ruegeria_megaRauge_sp_oligopeptide/dipeptide_ABC_transporter
0	0	255	99078583_Ruegeria_megaRauge_sp_hypothetical_protein
0	0	255	99078607_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078618_Ruegeria_megaRauge_sp_beta-lactamase-like
0	0	255	99078628_Ruegeria_megaRauge_sp_ABC_transporter_related
0	0	255	99078669_Ruegeria_megaRauge_sp_phosphonate_C-P_lyase_system
0	0	255	99078670_Ruegeria_megaRauge_sp_phosphonate_C-P_lyase_system_protein_PhnK
0	0	255	99078676_Ruegeria_megaRauge_sp_hexapaptide_repeat-containing_transferase
0	0	255	99078680_Ruegeria_megaRauge_sp_phosphonate_ABC_transporter_ATP-binding
200	200	200	56708842_Ruegeria_megaRue_ABC_transporter
200	200	200	56708858_Ruegeria_megaRue_polar_amino_acid_ABC_transporter_ATP-bindin
200	200	200	56709016_Ruegeria_megaRue_glycine_betaine/proline_ABC_transporter
200	200	200	56709020_Ruegeria_megaRue_C4-dicarboxylate_transport_sensor_protein_dctB
200	200	200	56709039_Ruegeria_megaRue_sugar_ABC_transporter
200	200	200	56709080_Ruegeria_megaRue_branched-chain_amino_acid_ABC_transporter
200	200	200	56709081_Ruegeria_megaRue_branched-chain_amino_acid_ABC_transporter
200	200	200	56709139_Ruegeria_megaRue_DNA-binding_response_regulator
200	200	200	56709140_Ruegeria_megaRue_sensor_histidine_kinase
200	200	200	56709164_Ruegeria_megaRue_spermidine/putrescine_ABC_transporter
200	200	200	56709212_Ruegeria_megaRue_tetracycline_resistance_protein
255	0	0	110346937_Mesorhizobium_Meso1_two_component_transcriptional_regulator
255	0	0	110346938_Mesorhizobium_Meso1_periplasmic_sensor_signal_transduction_histidin
255	0	0	110347153_Mesorhizobium_Meso1_cobyrinic_acid_a
255	0	0	110347172_Mesorhizobium_Meso1_ABC_transporter_related
255	0	0	110347183_Mesorhizobium_Meso1_hypothetical_protein
255	0	0	110347222_Mesorhizobium_Meso1_ABC_transporter_related
255	0	0	110347283_Mesorhizobium_Meso2_oligopeptide/dipeptide_ABC_transporter
255	0	0	110347320_Mesorhizobium_Meso2_ABC_transporter_related
255	0	0	110347325_Mesorhizobium_Meso2_ABC_transporter_related
200	200	200	148274166_Aeromonas_pAb5S9_partition_protein
200	200	200	148274169_Aeromonas_pAb5S9_florfenicol_exporter
200	200	200	148274172_Aeromonas_pAb5S9_tetracycline_resistance_efflux_protein
200	200	200	148274173_Aeromonas_pAb5S9_streptomycin_phosphotransferase_B
200	200	200	148274174_Aeromonas_pAb5S9_streptomycin_phosphotransferase_A
200	200	200	148274175_Aeromonas_pAb5S9_dihydropteroate_synthase_type_II
34	139	34	170780397_Acinetobacter_pABIR_macrolide_efflux_protein
34	139	34	170780398_Acinetobacter_pABIR_macrolide_2'-phosphotransferase
200	200	200	10955175_Acetobacter_pAC5_putative_transposase
255	255	0	219882549_Arthrobacter_pACHL01_Dihydrofolate_reductase
255	255	0	219882639_Arthrobacter_pACHL01_ABC_transporter_related
255	255	0	219883374_Arthrobacter_pACHL02_ABC_transporter_related
0	0	255	148243637_Acidiphilium_pACRY01_two_component_heavy_metal_respons
0	0	255	148243760_Acidiphilium_pACRY01_major_facilitator_transporter
0	0	255	148243776_Acidiphilium_pACRY01_major_facilitator_transporter
0	0	255	148243793_Acidiphilium_pACRY01_cobyrinic_acid_a
0	0	255	148243820_Acidiphilium_pACRY02_ABC_transporter_related
0	0	255	148243963_Acidiphilium_pACRY02_ABC_transporter_related
0	0	255	148243964_Acidiphilium_pACRY02_ABC_transporter_related
0	0	255	148243972_Acidiphilium_pACRY02_major_facilitator_transporter
0	0	255	148243999_Acidiphilium_pACRY03_osmosensitive_K_channel_signal_transductio
0	0	255	148244000_Acidiphilium_pACRY03_two_component_transcriptional_regulator
255	0	0	27753648_Lactobacillus_pAE78_erm44
34	139	34	10956601_Corynebacterium_pAG1_tetracycline_resistance_protein_TetA
34	139	34	10956608_Corynebacterium_pAG1_plasmid_partition_protein_homolog_ParB
255	255	0	218848223_Bacillus_pAH820_272_ATP-binding_protein
255	0	0	154263799_Escherichia_pAK51_b-lactamase
255	0	0	154263802_Escherichia_pAK51_tetracycline_resistance_protein
255	0	0	49145928_Helicobacter_pAL202_hypothetical_protein
0	0	255	32470449_Enterococcus_pAMalpha1_TetL_transporter
255	0	0	190570395_Salmonella_pAnkS_BlaTEM_beta-lactamase
0	0	255	21954778_Synechococcus_pANL_ANL22
0	0	255	21954779_Synechococcus_pANL_ANL23
0	0	255	47060336_Synechococcus_pANL_ANL53
255	0	0	121582602_Acidovorax_pAOVO02_cobyrinic_acid_a
200	200	200	38261100_Arcanobacterium_pAP2_TetA33)
255	0	0	222104923_Escherichia_pAPEC-1_EtsB
255	0	0	157418183_Escherichia_pAPEC-O1-ColBM_EitC
255	0	0	157418281_Escherichia_pAPEC-O1-ColBM_EtsB
255	0	0	157412095_Escherichia_pAPEC-O1-R_TetA
255	0	0	157412101_Escherichia_pAPEC-O1-R_aminoglycoside_resistance_protein
255	0	0	157412106_Escherichia_pAPEC-O1-R_quaternary_ammonium_compound_resistance_protein
255	0	0	157412107_Escherichia_pAPEC-O1-R_dihydropteroate_synthase
255	0	0	157412123_Escherichia_pAPEC-O1-R_DNA-binding_transcriptional_activator_CusR
255	0	0	157412127_Escherichia_pAPEC-O1-R_SilA
255	0	0	157412136_Escherichia_pAPEC-O1-R_PcoR
255	0	0	221218573_Escherichia_pAPEC-O103-ColBM_tetracycline_efflux_protein_TetA
255	0	0	221218579_Escherichia_pAPEC-O103-ColBM_dihydropteroate_synthase_protein_Sul2
255	0	0	221218581_Escherichia_pAPEC-O103-ColBM_aminoglycoside_resistance_protein_StrA
255	0	0	221218582_Escherichia_pAPEC-O103-ColBM_aminoglycoside_resistance_protein_StrB
255	0	0	221218584_Escherichia_pAPEC-O103-ColBM_dihydrofolate_reductase_type_I_DhfrA1
255	0	0	221218585_Escherichia_pAPEC-O103-ColBM_aminoglycoside_resistance_protein_AadA
255	0	0	221218586_Escherichia_pAPEC-O103-ColBM_quaternary_ammonium_compound_resistance_protei
255	0	0	221218587_Escherichia_pAPEC-O103-ColBM_dihydropteroate_synthase_protein_Sul1
255	0	0	221218597_Escherichia_pAPEC-O103-ColBM_macrolide_2'-phosphotransferase_II_protein_MphB
255	0	0	84060877_Escherichia_pAPEC-O2-ColV_EtsB
255	0	0	84060931_Escherichia_pAPEC-O2-ColV_EitC
255	0	0	58000301_Escherichia_pAPEC-O2-R_DNA-binding_transcriptional_activator_CusR
255	0	0	58000304_Escherichia_pAPEC-O2-R_heavy_metal_efflux_pump
255	0	0	58000309_Escherichia_pAPEC-O2-R_tetracycline_efflux_protein
255	0	0	58000314_Escherichia_pAPEC-O2-R_dihydrofolate_reductase_type_I
255	0	0	58000315_Escherichia_pAPEC-O2-R_chloramphenicol_acetyltransferase
255	0	0	58000316_Escherichia_pAPEC-O2-R_aminoglycoside_resistance_protein
255	0	0	58000317_Escherichia_pAPEC-O2-R_dihydropteroate_synthase
255	0	0	58000324_Escherichia_pAPEC-O2-R_beta-lactamase
0	0	255	170079514_Synechococcus_pAQ5_ParA
0	0	255	170076484_Synechococcus_pAQ7_ABC-type_nitrate/sulfonate/bicarbonate_transpor
0	0	255	170076492_Synechococcus_pAQ7_IucB_family_siderophore_biosynthesis_protein
0	0	255	170076531_Synechococcus_pAQ7_two-component_sensory_transduction_histidin
0	0	255	170076534_Synechococcus_pAQ7_ABC_transporter
0	0	255	170076539_Synechococcus_pAQ7_type_I_secretion_system_ATPase_AB
0	0	255	170076550_Synechococcus_pAQ7_iron_compound_ABC_transporter
0	0	255	170076556_Synechococcus_pAQ7_ATP-binding_protein_of_ABC_transporter_for_iro
0	0	255	170076585_Synechococcus_pAQ7_ABC_transporter
0	0	255	170076611_Synechococcus_pAQ7_phosphonate_ABC_transporter
0	0	255	170076628_Synechococcus_pAQ7_two-component_response_regulator
0	0	255	170076634_Synechococcus_pAQ7_fermentative_lactate_dehydrogenase
255	255	0	119387297_Paracoccus_Para1_major_facilitator_transporter
255	255	0	119387322_Paracoccus_Para1_D-isomer_specific_2-hydroxyacid_dehydrogenase
255	255	0	119387326_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387374_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387383_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387391_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387409_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387429_Paracoccus_Para1_beta-lactamase_domain-containing_protein
255	255	0	119387471_Paracoccus_Para1_glycine_betaine/L-proline_ABC_transporter
255	255	0	119387500_Paracoccus_Para1_phosphonate_C-P_lyase_system_protein_PhnL
255	255	0	119387501_Paracoccus_Para1_phosphonate_C-P_lyase_system_protein_PhnK
255	255	0	119387510_Paracoccus_Para1_phosphonate_ABC_transporter
255	255	0	119387516_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387517_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387526_Paracoccus_Para1_adenylyltransferase
255	255	0	119387551_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387557_Paracoccus_Para1_major_facilitator_transporter
255	255	0	119387564_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387572_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387583_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387596_Paracoccus_Para1_spermidine/putrescine_ABC_transporter_ATPas
255	255	0	119387605_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387608_Paracoccus_Para1_glycine_betaine/L-proline_ABC_transporter
255	255	0	119387624_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387626_Paracoccus_Para1_formyltetrahydrofolate_deformylase
255	255	0	119387635_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387648_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387666_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387680_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387685_Paracoccus_Para1_D-isomer_specific_2-hydroxyacid_dehydrogenase
255	255	0	119387719_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387720_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387726_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387732_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387770_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387778_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387798_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387804_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387820_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387821_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387835_Paracoccus_Para1_response_regulator_receiver_protein
255	255	0	119387850_Paracoccus_Para1_ABC_transporter_related
255	255	0	119387855_Paracoccus_Para1_ABC_transporter_related
255	0	0	150406444_Actinobacillus_pARD3079_dihydropteroate_synthase
0	0	255	145301216_Aeromonas_pAsa4_tetracycline_resistance_protein_TetAE)
0	0	255	145301306_Aeromonas_pAsa4_dihydropteroate_synthase
0	0	255	145301307_Aeromonas_pAsa4_quaternary_ammonium_compound-resistance_protei
0	0	255	145301308_Aeromonas_pAsa4_aminoglycoside_resistance_protein
0	0	255	145301309_Aeromonas_pAsa4_chloramphenicol_acetyltransferase
255	0	0	222108944_Agrobacterium_pAtK84b_ABC_transporter_ATP-binding_protei
255	0	0	222109037_Agrobacterium_pAtK84b_ABC_transporter_ATP-binding_protein
255	0	0	222109054_Agrobacterium_pAtK84b_opine_permease_ATP-binding_protein
255	0	0	222109085_Agrobacterium_pAtK84b_ABC_transporter_ATP-binding_protei
255	0	0	222102052_Agrobacterium_pAtK84c_ABC_transporter_ATP-binding_protein
255	0	0	222102075_Agrobacterium_pAtK84c_glutamine_transport_ATP-binding_protein
255	0	0	222102105_Agrobacterium_pAtK84c_ABC-transporter
255	0	0	222102106_Agrobacterium_pAtK84c_ABC_transporter
255	0	0	222102206_Agrobacterium_pAtK84c_ABC_transporter
255	0	0	222102251_Agrobacterium_pAtK84c_ATP-binding_protein_of_ABC_transporter
255	0	0	222102277_Agrobacterium_pAtK84c_ABC_transporter
255	0	0	222102387_Agrobacterium_pAtS4a_AcrB/AcrD/AcrF_family_protein
